MovieId,Title,RegionId,Name,year,GenreId,genre
1,The Hobbit: An Unexpected Journey,7,America,1788,1,Romance
1,The Hobbit: An Unexpected Journey,8,Asia,1788,2,Film-Noir
1,The Hobbit: An Unexpected Journey,9,Europe,1788,3,Music
2,Night at the Museum,7,America,1743,4,Comedy
2,Night at the Museum,8,Asia,1743,5,Biography
2,Night at the Museum,9,Europe,1743,6,Sport
2,Night at the Museum,10,Africa,1743,7,Drama
4,Mission: Impossible - Ghost Protocol,6,Other countries,1558,8,Animation
4,Mission: Impossible - Ghost Protocol,7,America,1558,9,Sci-Fi
4,Mission: Impossible - Ghost Protocol,8,Asia,1558,10,Western
4,Mission: Impossible - Ghost Protocol,9,Europe,1558,11,War
4,Mission: Impossible - Ghost Protocol,10,Africa,1558,12,Adventure
5,Sully,7,America,847,13,Musical
5,Sully,8,Asia,847,14,Action
5,Sully,9,Europe,847,15,Horror
5,Sully,10,Africa,847,16,Thriller
6,Resident Evil,6,Other countries,316,17,Fantasy
6,Resident Evil,7,America,316,18,Mystery
6,Resident Evil,8,Asia,316,19,Crime
6,Resident Evil,9,Europe,316,20,Family
6,Resident Evil,10,Africa,316,21,History
7,The Simpsons Movie,7,America,1826,,
7,The Simpsons Movie,8,Asia,1826,,
7,The Simpsons Movie,9,Europe,1826,,
7,The Simpsons Movie,10,Africa,1826,,
8,Meet the Fockers,8,Asia,1743,,
8,Meet the Fockers,9,Europe,1743,,
8,Meet the Fockers,10,Africa,1743,,
9,The Amazing Spider-Man,8,Asia,1674,,
9,The Amazing Spider-Man,9,Europe,1674,,
11,Office Space,7,America,1484,,
11,Office Space,8,Asia,1484,,
12,Oblivion,7,America,741,,
12,Oblivion,8,Asia,#N/A,,
12,Oblivion,9,Europe,#N/A,,
12,Oblivion,10,Africa,#N/A,,
13,This Is the End,7,America,#N/A,,
13,This Is the End,8,Asia,#N/A,,
13,This Is the End,9,Europe,#N/A,,
13,This Is the End,10,Africa,#N/A,,
14,Divergent,6,Other countries,#N/A,,
14,Divergent,7,America,#N/A,,
14,Divergent,8,Asia,#N/A,,
14,Divergent,9,Europe,#N/A,,
15,Lucy,7,America,#N/A,,
15,Lucy,8,Asia,#N/A,,
15,Lucy,9,Europe,#N/A,,
15,Lucy,10,Africa,#N/A,,
16,You've Got Mail,7,America,#N/A,,
16,You've Got Mail,8,Asia,#N/A,,
16,You've Got Mail,9,Europe,#N/A,,
16,You've Got Mail,10,Africa,#N/A,,
17,Dogma,7,America,#N/A,,
17,Dogma,8,Asia,#N/A,,
17,Dogma,9,Europe,#N/A,,
19,Doctor Strange,7,America,#N/A,,
19,Doctor Strange,8,Asia,#N/A,,
19,Doctor Strange,9,Europe,#N/A,,
19,Doctor Strange,10,Africa,#N/A,,
20,The Hunger Games,7,America,#N/A,,
20,The Hunger Games,8,Asia,#N/A,,
20,The Hunger Games,9,Europe,#N/A,,
22,Ace Ventura: Pet Detective,6,Other countries,#N/A,,
22,Ace Ventura: Pet Detective,7,America,#N/A,,
22,Ace Ventura: Pet Detective,8,Asia,#N/A,,
22,Ace Ventura: Pet Detective,9,Europe,#N/A,,
22,Ace Ventura: Pet Detective,10,Africa,#N/A,,
23,Now You See Me,7,America,#N/A,,
23,Now You See Me,8,Asia,#N/A,,
23,Now You See Me,10,Africa,#N/A,,
24,Ferris Bueller's Day Off,8,Asia,#N/A,,
24,Ferris Bueller's Day Off,9,Europe,#N/A,,
25,Ghost Rider,7,America,#N/A,,
26,The Expendables,7,America,#N/A,,
26,The Expendables,8,Asia,#N/A,,
26,The Expendables,9,Europe,#N/A,,
26,The Expendables,10,Africa,#N/A,,
27,Get Him to the Greek,6,Other countries,#N/A,,
27,Get Him to the Greek,7,America,#N/A,,
27,Get Him to the Greek,8,Asia,#N/A,,
27,Get Him to the Greek,9,Europe,#N/A,,
27,Get Him to the Greek,10,Africa,#N/A,,
28,Adaptation.,7,America,#N/A,,
28,Adaptation.,8,Asia,#N/A,,
28,Adaptation.,9,Europe,#N/A,,
28,Adaptation.,10,Africa,#N/A,,
29,V for Vendetta,8,Asia,#N/A,,
30,The Purge,7,America,#N/A,,
30,The Purge,8,Asia,,,
30,The Purge,9,Europe,,,
31,Sin City,7,America,,,
31,Sin City,8,Asia,,,
33,Dark Shadows,7,America,,,
33,Dark Shadows,8,Asia,,,
33,Dark Shadows,9,Europe,,,
33,Dark Shadows,10,Africa,,,
34,Road to Perdition,7,America,,,
34,Road to Perdition,8,Asia,,,
34,Road to Perdition,9,Europe,,,
34,Road to Perdition,10,Africa,,,
35,In Time,7,America,,,
35,In Time,8,Asia,,,
35,In Time,10,Africa,,,
37,Ice Age: Dawn of the Dinosaurs,7,America,,,
37,Ice Age: Dawn of the Dinosaurs,8,Asia,,,
37,Ice Age: Dawn of the Dinosaurs,9,Europe,,,
37,Ice Age: Dawn of the Dinosaurs,10,Africa,,,
39,Minority Report,7,America,,,
39,Minority Report,8,Asia,,,
39,Minority Report,9,Europe,,,
39,Minority Report,10,Africa,,,
40,Straight Outta Compton,7,America,,,
40,Straight Outta Compton,8,Asia,,,
40,Straight Outta Compton,9,Europe,,,
40,Straight Outta Compton,10,Africa,,,
41,Babel,7,America,,,
41,Babel,8,Asia,,,
41,Babel,9,Europe,,,
43,Changeling,8,Asia,,,
43,Changeling,9,Europe,,,
43,Changeling,10,Africa,,,
44,Sherlock Holmes: A Game of Shadows,8,Asia,,,
44,Sherlock Holmes: A Game of Shadows,9,Europe,,,
45,Hook,7,America,,,
45,Hook,8,Asia,,,
45,Hook,9,Europe,,,
45,Hook,10,Africa,,,
46,Jupiter Ascending,7,America,,,
46,Jupiter Ascending,8,Asia,,,
46,Jupiter Ascending,9,Europe,,,
46,Jupiter Ascending,10,Africa,,,
48,The Lost World: Jurassic Park,7,America,,,
48,The Lost World: Jurassic Park,8,Asia,,,
48,The Lost World: Jurassic Park,9,Europe,,,
48,The Lost World: Jurassic Park,10,Africa,,,
49,Donnie Brasco,7,America,,,
49,Donnie Brasco,8,Asia,,,
49,Donnie Brasco,9,Europe,,,
49,Donnie Brasco,10,Africa,,,
50,Sherlock Holmes,6,Other countries,,,
50,Sherlock Holmes,7,America,,,
50,Sherlock Holmes,8,Asia,,,
50,Sherlock Holmes,9,Europe,,,
50,Sherlock Holmes,10,Africa,,,
52,Lawrence of Arabia,7,America,,,
52,Lawrence of Arabia,8,Asia,,,
